Geneid,log2FoldChange,pvalue,-log10(pvalue),comparison,Regulation,JGI_annotation,KEGG_annotation
jgi|Sacce1|1744|YIL033C,-2.36675520204596,1.6171733892204743e-06,5.791243413646669,EBY / GNHR,Downregulated,Phosphotransferases with an alcohol group as acceptor,"K04739 cAMP-dependent protein kinase regulator | (RefSeq) BCY1, SRA1; cAMP-dependent protein kinase regulatory subunit BCY1"
jgi|Sacce1|5681|YOR032W-A,-2.4242571935634922,2.3707538468881973e-07,6.625113536063052,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) uncharacterized protein
jgi|Sacce1|3990|YLL029W,-2.4518134342691167,5.982107127692938e-05,4.223145813880877,EBY / GNHR,Downregulated,Xaa-Pro aminopeptidase,K01262 Xaa-Pro aminopeptidase [EC:3.4.11.9] | (RefSeq) FRA1; aminopeptidase P
jgi|Sacce1|3069|YHR106W,-2.4583860373688045,9.549678180637908e-05,4.02001126367574,EBY / GNHR,Downregulated,,K00384 thioredoxin reductase (NADPH) [EC:1.8.1.9] | (RefSeq) TRR2; thioredoxin-disulfide reductase TRR2
jgi|Sacce1|5671|YOR023C,-2.5231779694406646,1.0654017967164254e-05,4.972486575147049,EBY / GNHR,Downregulated,,K11370 ADA HAT complex component 1 | (RefSeq) AHC1; Ahc1p
jgi|Sacce1|4342|YLR299W,-2.5249032896637225,3.653782416812265e-06,5.437257318502729,EBY / GNHR,Downregulated,Gamma-glutamyltransferase,"K00681 gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13] | (RefSeq) ECM38, CIS2; gamma-glutamyltransferase"
jgi|Sacce1|3687|YKL141W,-2.5473229609073855,1.1386417519944556e-05,4.943612895416137,EBY / GNHR,Downregulated,Succinate dehydrogenase (ubiquinone),"K00236 succinate dehydrogenase (ubiquinone) cytochrome b560 subunit | (RefSeq) SDH3, CYB3, YKL4; succinate dehydrogenase cytochrome b subunit SDH3"
jgi|Sacce1|4383|YLR337C,-2.619793012940585,4.620035813181504e-05,4.335354657905601,EBY / GNHR,Downregulated,Acid--D-amino-acid ligases (peptide synthases),"no KO assigned | (RefSeq) VRP1, END5, MDP2, YLR337W; Vrp1p"
jgi|Sacce1|2590|YGR019W,-2.6519290987638247,3.5943254865145615e-05,4.444382597623073,EBY / GNHR,Downregulated,4-aminobutyrate aminotransferase,K13524 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22] | (RefSeq) UGA1; 4-aminobutyrate transaminase
jgi|Sacce1|6518|YPR154W,-2.683187333186828,2.5171951261855582e-05,4.599083117808378,EBY / GNHR,Downregulated,,"K20522 LAS seventeen-binding protein 1/2 | (RefSeq) PIN3, LSB2; Pin3p"
jgi|Sacce1|3793|YKL043W,-2.7568025653702626,2.6496606278932042e-05,4.576809747524204,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) PHD1; Phd1p
jgi|Sacce1|5041|YNL332W,-2.9570453686756037,1.5750324038244738e-06,5.802710506853811,EBY / GNHR,Downregulated,,K18278 pyrimidine precursor biosynthesis enzyme | (RefSeq) THI12; 4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase
jgi|Sacce1|6072|YPL278C,-3.0017632368841736,7.737263378260997e-05,4.111412619404703,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) uncharacterized protein
jgi|Sacce1|6422|YPR061C,-3.0806523920013458,9.844716505636264e-05,4.006796785550294,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) JID1; Jid1p
jgi|Sacce1|3213|YJL217W,-3.0894146757580923,3.9807956108957693e-07,6.400030120164924,EBY / GNHR,Downregulated,,K09702 uncharacterized protein | (RefSeq) REE1; Ree1p
jgi|Sacce1|6073|YPL277C,-3.1707862513554423,1.7294620206226264e-06,5.762088970750011,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) uncharacterized protein
jgi|Sacce1|4049|YLR030W,-3.1996036331268707,9.320896709628569e-08,7.030542304672815,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) uncharacterized protein
jgi|Sacce1|6155|YPL196W,-3.2153866535833475,1.0390535988043027e-05,4.9833620491083135,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) OXR1; Oxr1p
jgi|Sacce1|5370|YNL015W,-3.2681723128616005,6.939345287741572e-07,6.15868150235984,EBY / GNHR,Downregulated,,"no KO assigned | (RefSeq) PBI2, LMA1; Pbi2p"
jgi|Sacce1|2183|YFL042C,-3.2847291720392975,4.110537592897838e-05,4.386101375602992,EBY / GNHR,Downregulated,Sterol glucosyltransferase,"K27898 protein Aster | (RefSeq) LAM5, LTC2, YFL043C; Lam5p"
jgi|Sacce1|1292|YDR262W,-3.4838701211744127,7.153514376794239e-06,5.145480545685103,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) uncharacterized protein
jgi|Sacce1|5244|YNL134C,-3.7912704949091833,2.102084989205645e-05,4.6773497290323895,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) uncharacterized protein
jgi|Sacce1|4099|YLR080W,-3.808437623835307,1.3672443226612889e-06,5.864153871311885,EBY / GNHR,Downregulated,,"K10080 lectin, mannose-binding 1 | (RefSeq) EMP46; Emp46p"
jgi|Sacce1|5137|YNL237W,-3.8733767512581827,3.6506083785147845e-05,4.437634753786063,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) YTP1; Ytp1p
jgi|Sacce1|5841|YOR185C,-4.069039637159089,8.516094869359294e-05,4.069759509163053,EBY / GNHR,Downregulated,,"K07936 GTP-binding nuclear protein Ran | (RefSeq) GSP2, CNR2; Ran GTPase GSP2"
jgi|Sacce1|4404|YLR356W,-4.263713431801288,5.0649735968902365e-08,7.295422814223693,EBY / GNHR,Downregulated,,K19717 autophagy-related protein 33 | (RefSeq) ATG33; Atg33p
jgi|Sacce1|2217|YFL014W,-4.344328220250336,4.683014348178896e-05,4.329474511591105,EBY / GNHR,Downregulated,,"no KO assigned | (RefSeq) HSP12, GLP1, HOR5; lipid-binding protein HSP12"
jgi|Sacce1|478|YBR214W,-5.307459307549598,2.9822185497952422e-06,5.525460532750187,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) SDS24; Sds24p
jgi|Sacce1|3740|YKL093W,-5.776903721501909,3.793368977684564e-05,4.42097491179796,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) MBR1; Mbr1p
jgi|Sacce1|1026|YDR007W,-6.082387180965905,2.280936375294228e-05,4.64188682881542,EBY / GNHR,Downregulated,Phosphoribosylanthranilate isomerase,K01817 phosphoribosylanthranilate isomerase [EC:5.3.1.24] | (RefSeq) TRP1; phosphoribosylanthranilate isomerase TRP1
jgi|Sacce1|5588|YOL052C-A,-7.703502928753751,1.562122680295413e-07,6.806284862082822,EBY / GNHR,Downregulated,,"no KO assigned | (RefSeq) DDR2, YOL053C-A; Ddr2p"
jgi|Sacce1|5180|YNL194C,-9.190327715214021,8.00607215617168e-05,4.096580500055797,EBY / GNHR,Downregulated,,K27385 SUR7 family protein | (RefSeq) uncharacterized protein
jgi|Sacce1|780|YDL227C,6.455541759628503,1.8023162162127307e-05,4.74416900974529,EBY / GNHR,Upregulated,,no KO assigned | (RefSeq) HO; Hop
jgi|Sacce1|4423|YLR372W,5.791708486316173,5.708570740755424e-05,4.2434726127877145,EBY / GNHR,Upregulated,,"K10246 fatty acid elongase 3 [EC:2.3.1.199] | (RefSeq) ELO3, APA1, SRE1, SUR4, VBM1; fatty acid elongase ELO3"
jgi|Sacce1|1168|YDR144C,5.782329101482709,2.893367609855587e-05,4.538596384606662,EBY / GNHR,Upregulated,Yapsin 1,"K06009 yapsin 1/2 [EC:3.4.23.41] | (RefSeq) MKC7, YPS2; aspartyl protease"
jgi|Sacce1|681|YCR034W,5.095070196626408,9.025896446787486e-05,4.044509653404701,EBY / GNHR,Upregulated,,"K10245 fatty acid elongase 2 [EC:2.3.1.199] | (RefSeq) ELO2, FEN1, GNS1, VBM2; fatty acid elongase ELO2"
jgi|Sacce1|4794|YMR116C,4.781164263130063,2.178462122375309e-08,7.661849986881039,EBY / GNHR,Upregulated,2-acetyl-1-alkylglycerophosphocholine esterase,"K14753 guanine nucleotide-binding protein subunit beta-2-like 1 protein | (RefSeq) ASC1, ASU9, CPC2, NAD1; ribosomal 40S subunit protein ASC1"
jgi|Sacce1|3610|YKL216W,4.699158413713653,9.20834981643396e-07,6.035818190631392,EBY / GNHR,Upregulated,Dihydroorotate oxidase,K00226 dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1] | (RefSeq) URA1; dihydroorotate dehydrogenase
jgi|Sacce1|6092|YPL256C,4.378595034713285,5.436066951464342e-06,5.264715203066758,EBY / GNHR,Upregulated,,K06650 G1/S-specific cyclin CLN2 | (RefSeq) CLN2; cyclin CLN2
jgi|Sacce1|2699|YGR123C,4.311355787631871,1.45013376842025e-06,5.838591934173862,EBY / GNHR,Upregulated,Serine/threonine specific protein phosphatase,K04460 serine/threonine-protein phosphatase 5 [EC:3.1.3.16] | (RefSeq) PPT1; protein serine/threonine phosphatase
jgi|Sacce1|4234|YLR197W,4.306280399175124,1.1828902674683904e-05,4.927055541461119,EBY / GNHR,Upregulated,,"K14564 nucleolar protein 56 | (RefSeq) NOP56, SIK1; snoRNP complex protein NOP56"
jgi|Sacce1|4223|YLR186W,4.170542852102681,2.3590418666470377e-06,5.627264351487258,EBY / GNHR,Upregulated,,"K14568 rRNA small subunit pseudouridine methyltransferase Nep1 [EC:2.1.1.260] | (RefSeq) EMG1, NEP1; 18S rRNA pseudouridine methyltransferase"
jgi|Sacce1|4627|YML043C,4.120462704784625,5.759889121488695e-05,4.239585876713785,EBY / GNHR,Upregulated,,K15222 RNA polymerase I-specific transcription initiation factor RRN11 | (RefSeq) RRN11; Rrn11p
jgi|Sacce1|3023|YHR068W,4.059839222701786,7.247574767434745e-07,6.139807295680885,EBY / GNHR,Upregulated,,K00809 deoxyhypusine synthase [EC:2.5.1.46] | (RefSeq) DYS1; deoxyhypusine synthase
jgi|Sacce1|210|YBL031W,4.049086372001842,8.750019808204238e-08,7.0579909638252225,EBY / GNHR,Upregulated,,no KO assigned | (RefSeq) SHE1; She1p
jgi|Sacce1|4504|YLR448W,3.995797345432664,9.88079258777002e-06,5.005208217083535,EBY / GNHR,Upregulated,,K02934 large subunit ribosomal protein L6e | (RefSeq) RPL6B; ribosomal 60S subunit protein L6B
jgi|Sacce1|1124|YDR101C,3.97881091992892,7.070313977235204e-05,4.15056129970339,EBY / GNHR,Upregulated,Methionyl aminopeptidase,K14813 metalloprotease ARX1 [EC:3.-.-.-] | (RefSeq) ARX1; putative hydrolase
jgi|Sacce1|1766|YIL015W,3.964536460155547,4.5854835533402964e-08,7.338614859890537,EBY / GNHR,Upregulated,Barrierpepsin,"K01383 barrierpepsin [EC:3.4.23.35] | (RefSeq) BAR1, SST1; aspartyl protease BAR1"
jgi|Sacce1|2704|YGR128C,3.904937451222646,3.002840568066299e-05,4.52246772549237,EBY / GNHR,Upregulated,,K14547 U3 small nucleolar RNA-associated protein 8 | (RefSeq) UTP8; Utp8p
jgi|Sacce1|6463|YPR102C,3.858749016009765,4.697882149258114e-05,4.328097882102656,EBY / GNHR,Upregulated,,K02868 large subunit ribosomal protein L11e | (RefSeq) RPL11A; ribosomal 60S subunit protein L11A
jgi|Sacce1|717|YCR072C,3.8581317031181386,4.68372158253302e-06,5.329408928877925,EBY / GNHR,Upregulated,2-acetyl-1-alkylglycerophosphocholine esterase,K14855 ribosome assembly protein 4 | (RefSeq) RSA4; Rsa4p
jgi|Sacce1|6346|YPL012W,3.783535912099682,2.3026337217306002e-05,4.637775139448863,EBY / GNHR,Upregulated,,K14794 ribosomal RNA-processing protein 12 | (RefSeq) RRP12; mRNA-binding protein RRP12
jgi|Sacce1|3531|YJR097W,3.7827915089605533,1.4449860955936096e-07,6.8401363318943,EBY / GNHR,Upregulated,,"K17867 diphthamide biosynthesis protein 4 | (RefSeq) JJJ3, DPH4; Jjj3p"
jgi|Sacce1|3003|YHR052W,3.7785370837574197,2.134386255020911e-07,6.670726984515697,EBY / GNHR,Upregulated,,"K14783 proteasome-interacting protein CIC1 | (RefSeq) CIC1, NSA3; Cic1p"
jgi|Sacce1|5564|YOL077C,3.756367751580766,2.1218719275640777e-06,5.6732808328902715,EBY / GNHR,Upregulated,,K14820 ribosome biogenesis protein BRX1 | (RefSeq) BRX1; ribosome biogenesis protein BRX1
jgi|Sacce1|1454|YDR414C,3.7519089284126914,1.3982171930241671e-06,5.854425361919773,EBY / GNHR,Upregulated,,"no KO assigned | (RefSeq) ERD1, LDB2; Erd1p"
jgi|Sacce1|3284|YJL148W,3.7475933790383062,4.399492434100802e-07,6.356597424828433,EBY / GNHR,Upregulated,DNA-directed RNA polymerase,"K03003 DNA-directed RNA polymerase I subunit RPA34 | (RefSeq) RPA34, CST21; DNA-directed RNA polymerase I subunit RPA34"
jgi|Sacce1|778|YDL229W,3.744395308438333,1.757244618240028e-05,4.755167778085167,EBY / GNHR,Upregulated,,"K03283 heat shock 70kDa protein 1/6/8 | (RefSeq) SSB1, YG101; Hsp70 family ATPase SSB1"
jgi|Sacce1|2310|YGL253W,3.728413614703554,2.5432114515825158e-06,5.594617529545982,EBY / GNHR,Upregulated,Hexokinase,"K00844 hexokinase [EC:2.7.1.1] | (RefSeq) HXK2, HEX1, HKB, SCI2; hexokinase 2"
jgi|Sacce1|5318|YNL066W,3.723401513747789,5.446279325915386e-06,5.263900088557417,EBY / GNHR,Upregulated,,"K01238 SUN family beta-glucosidase [EC:3.2.1.-] | (RefSeq) SUN4, SCW3; putative glucosidase SUN4"
jgi|Sacce1|337|YBR088C,3.718000387341675,1.1322417355599652e-06,5.946060840628491,EBY / GNHR,Upregulated,DNA-directed DNA polymerase,K04802 proliferating cell nuclear antigen | (RefSeq) POL30; proliferating cell nuclear antigen
jgi|Sacce1|6276|YPL081W,3.7110710520638195,9.267450834017472e-06,5.033039709325542,EBY / GNHR,Upregulated,,K02997 small subunit ribosomal protein S9e | (RefSeq) RPS9A; ribosomal 40S subunit protein S9A
jgi|Sacce1|6140|YPL211W,3.711021059777027,5.6682775095842514e-05,4.246548895557461,EBY / GNHR,Upregulated,,K07565 60S ribosome subunit biogenesis protein NIP7 | (RefSeq) NIP7; ribosome biosynthesis protein NIP7
jgi|Sacce1|5246|YNL132W,3.6868780767879077,3.3426541819148505e-06,5.475908551512347,EBY / GNHR,Upregulated,,"K14521 N-acetyltransferase 10 [EC:2.3.1.-] | (RefSeq) KRE33, RRA1; ribosome biosynthesis protein KRE33"
jgi|Sacce1|5912|YOR254C,3.6560967690180513,4.862174673056237e-09,8.313169443233978,EBY / GNHR,Upregulated,,"K09540 translocation protein SEC63 | (RefSeq) SEC63, PTL1; protein-transporting protein SEC63"
jgi|Sacce1|6105|YPL245W,3.656084636077955,5.251777721968276e-07,6.279693663421376,EBY / GNHR,Upregulated,,K09384 uncharacterized protein | (RefSeq) uncharacterized protein
jgi|Sacce1|2443|YGL123W,3.6503376931463754,3.4077475367363093e-06,5.467532587456885,EBY / GNHR,Upregulated,,"K02981 small subunit ribosomal protein S2e | (RefSeq) RPS2, RPS4, SUP138, SUP38, SUP44; ribosomal 40S subunit protein S2"
jgi|Sacce1|2081|YER127W,3.644621701674292,9.991786679332073e-05,4.000356846549244,EBY / GNHR,Upregulated,,K14765 U3 small nucleolar ribonucleoprotein protein LCP5 | (RefSeq) LCP5; Lcp5p
jgi|Sacce1|1549|YDR508C,3.6421820524799777,9.10219831374615e-05,4.040853706554588,EBY / GNHR,Upregulated,,K16261 yeast amino acid transporter | (RefSeq) GNP1; glutamine permease GNP1
jgi|Sacce1|2491|YGL076C,3.6403352869510135,1.9971645236899988e-07,6.699586157068416,EBY / GNHR,Upregulated,,K02937 large subunit ribosomal protein L7e | (RefSeq) RPL7A; ribosomal 60S subunit protein L7A
jgi|Sacce1|4508|YLR452C,3.638854840142628,8.405821016583443e-08,7.075419861575135,EBY / GNHR,Upregulated,,"K19838 GTPase-activating protein SST2 | (RefSeq) SST2, SSL2; GTPase-activating protein SST2"
jgi|Sacce1|277|YBR034C,3.634539082201464,9.351328594395387e-05,4.0291266821516745,EBY / GNHR,Upregulated,Methyltransferases,"K11434 type I protein arginine methyltransferase [EC:2.1.1.319] | (RefSeq) HMT1, HCP1, ODP1, RMT1; protein-arginine omega-N methyltransferase HMT1"
jgi|Sacce1|1693|YIL079C,3.631034737624634,1.7719924924270543e-05,4.751538122462743,EBY / GNHR,Upregulated,,K12597 protein AIR1/2 | (RefSeq) AIR1; TRAMP complex RNA-binding subunit
jgi|Sacce1|5199|YNL175C,3.622144222529557,6.505437693372387e-07,6.186723478284319,EBY / GNHR,Upregulated,,no KO assigned | (RefSeq) NOP13; Nop13p
jgi|Sacce1|4987|YMR290C,3.618365703762257,6.017223028295122e-06,5.220603891090561,EBY / GNHR,Upregulated,In phosphorous-containing anhydrides,K13179 ATP-dependent RNA helicase DDX18/HAS1 [EC:5.6.2.7] | (RefSeq) HAS1; ATP-dependent RNA helicase HAS1
jgi|Sacce1|4220|YLR183C,3.617043058621037,8.702934809116316e-07,6.060334269625679,EBY / GNHR,Upregulated,,no KO assigned | (RefSeq) TOS4; Tos4p
jgi|Sacce1|4489|YLR435W,3.61477966805834,4.885709935659666e-05,4.3110723206376225,EBY / GNHR,Upregulated,,K14800 pre-rRNA-processing protein TSR2 | (RefSeq) TSR2; Tsr2p
jgi|Sacce1|934|YDL082W,3.6120468178454326,3.1434853694018073e-06,5.502588556628522,EBY / GNHR,Upregulated,,K02873 large subunit ribosomal protein L13e | (RefSeq) RPL13A; ribosomal 60S subunit protein L13A
jgi|Sacce1|2447|YGL120C,3.609198344412266,8.489215973349729e-05,4.0711324174322385,EBY / GNHR,Upregulated,Adenosinetriphosphatase,K12820 pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43 [EC:5.6.2.6] | (RefSeq) PRP43; DEAH-box ATP-dependent RNA helicase PRP43
jgi|Sacce1|3314|YJL122W,3.6039177722361018,3.050822272889656e-06,5.5155830916534025,EBY / GNHR,Upregulated,,K14814 ribosome biogenesis protein ALB1 | (RefSeq) ALB1; Alb1p
jgi|Sacce1|1082|YDR060W,3.6004042895789254,3.241979158511739e-05,4.489189781397572,EBY / GNHR,Upregulated,Exo-alpha-sialidase,"K14832 ribosome biogenesis protein MAK21 | (RefSeq) MAK21, NOC1; RNA-binding ribosome biosynthesis protein MAK21"
jgi|Sacce1|4418|YLR367W,3.582696592770069,3.4549617323238316e-08,7.461556758574193,EBY / GNHR,Upregulated,,K02957 small subunit ribosomal protein S15Ae | (RefSeq) RPS22B; ribosomal 40S subunit protein S22B
jgi|Sacce1|3933|YKR092C,3.548201766204746,1.9337774610040512e-07,6.713593505960787,EBY / GNHR,Upregulated,Exo-alpha-sialidase,no KO assigned | (RefSeq) SRP40; Srp40p
jgi|Sacce1|331|YBR084W,3.5420901269408147,3.617684083455427e-05,4.441569360859966,EBY / GNHR,Upregulated,,K00288 methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3] | (RefSeq) MIS1; trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase MIS1
jgi|Sacce1|3582|YJR145C,3.4707567207546526,4.72428281132225e-05,4.325664111964473,EBY / GNHR,Upregulated,,K02987 small subunit ribosomal protein S4e | (RefSeq) RPS4A; ribosomal 40S subunit protein S4A
jgi|Sacce1|5361|YNL024C,3.466130672846242,6.427564584278094e-05,4.191953550864849,EBY / GNHR,Upregulated,,K21804 protein N-lysine methyltransferase METTL21A [EC:2.1.1.-] | (RefSeq) EFM6; putative protein-lysine N-methyltransferase
jgi|Sacce1|433|YBR175W,3.4422135513945253,9.067203054008437e-05,4.042526658423817,EBY / GNHR,Upregulated,Lanosterol synthase,"K14963 COMPASS component SWD3 | (RefSeq) SWD3, CPS30, SAF35; Swd3p"
jgi|Sacce1|5905|YOR247W,3.4355569956586844,1.9501583709654875e-07,6.709930118461299,EBY / GNHR,Upregulated,,no KO assigned | (RefSeq) SRL1; Srl1p
jgi|Sacce1|1861|YEL054C,3.4130314643853343,9.808368419647429e-05,4.008403229651224,EBY / GNHR,Upregulated,,K02870 large subunit ribosomal protein L12e | (RefSeq) RPL12A; ribosomal 60S subunit protein L12A
jgi|Sacce1|3254|YJL177W,3.4045340519323295,6.139101196766776e-05,4.211895207663005,EBY / GNHR,Upregulated,,K02880 large subunit ribosomal protein L17e | (RefSeq) RPL17B; ribosomal 60S subunit protein L17B
jgi|Sacce1|4259|YLR222C,3.4003344587784046,6.9869580949289216e-06,5.1557118614681,EBY / GNHR,Upregulated,,K14555 U3 small nucleolar RNA-associated protein 13 | (RefSeq) UTP13; Utp13p
jgi|Sacce1|6224|YPL131W,3.3968692060888457,5.63842725312749e-07,6.248842018452838,EBY / GNHR,Upregulated,,"K02932 large subunit ribosomal protein L5e | (RefSeq) RPL5, LPI14, RPL1; ribosomal 60S subunit protein L5"
jgi|Sacce1|4067|YLR048W,3.370053426841629,4.580598706610989e-05,4.339077753877336,EBY / GNHR,Upregulated,,"K02998 small subunit ribosomal protein SAe | (RefSeq) RPS0B, NAB1B, YST2; ribosomal 40S subunit protein S0B"
jgi|Sacce1|3558|YJR123W,3.364927493928812,2.0244630707487216e-06,5.693690141007857,EBY / GNHR,Upregulated,,K02989 small subunit ribosomal protein S5e | (RefSeq) RPS5; ribosomal 40S subunit protein S5
jgi|Sacce1|3701|YKL128C,3.361856454620042,8.431714555260581e-07,6.074084104357995,EBY / GNHR,Upregulated,,no KO assigned | (RefSeq) PMU1; putative phosphomutase
jgi|Sacce1|6267|YPL090C,3.346074152391577,1.5140108241930124e-07,6.819871019901671,EBY / GNHR,Upregulated,,K02991 small subunit ribosomal protein S6e | (RefSeq) RPS6A; ribosomal 40S subunit protein S6A
jgi|Sacce1|4486|YLR432W,3.3336312961606622,1.5174920990913954e-06,5.818873561425648,EBY / GNHR,Upregulated,IMP dehydrogenase,K00088 IMP dehydrogenase [EC:1.1.1.205] | (RefSeq) IMD3; IMP dehydrogenase IMD3
jgi|Sacce1|419|YBR162C,3.3293465698073765,4.524037984968251e-07,6.344473757284856,EBY / GNHR,Upregulated,,no KO assigned | (RefSeq) TOS1; Tos1p
jgi|Sacce1|5648|YOR004W,3.3246291468390896,4.834629303853477e-07,6.315636819918676,EBY / GNHR,Upregulated,,K14773 U3 small nucleolar RNA-associated protein 23 | (RefSeq) UTP23; rRNA-binding ribosome biosynthesis protein UTP23
jgi|Sacce1|961|YDL055C,3.316483571517505,2.0114231916530496e-05,4.696496546775609,EBY / GNHR,Upregulated,Mannose-1-phosphate guanylyltransferase,"K00966 mannose-1-phosphate guanylyltransferase [EC:2.7.7.13] | (RefSeq) PSA1, MPG1, SRB1, VIG9; mannose-1-phosphate guanylyltransferase"
jgi|Sacce1|6402|YPR041W,3.309357298889395,3.9778527882106345e-05,4.40035129322033,EBY / GNHR,Upregulated,,"K03262 translation initiation factor 5 | (RefSeq) TIF5, SUI5; translation initiation factor eIF5"
jgi|Sacce1|4212|YLR175W,3.2934437798810525,1.7867365104668968e-05,4.74793948805814,EBY / GNHR,Upregulated,Pseudouridylate synthase,K11131 H/ACA ribonucleoprotein complex subunit 4 [EC:5.4.99.-] | (RefSeq) CBF5; pseudouridine synthase CBF5
jgi|Sacce1|2767|YGR187C,3.292378817175465,5.1136282762522706e-05,4.291270845226375,EBY / GNHR,Upregulated,,no KO assigned | (RefSeq) HGH1; Hgh1p
jgi|Sacce1|5516|YOL120C,3.2856256962431574,9.958892742197432e-05,4.001788944978438,EBY / GNHR,Upregulated,,"K02883 large subunit ribosomal protein L18e | (RefSeq) RPL18A, RP28A; ribosomal 60S subunit protein L18A"
jgi|Sacce1|3504|YJR070C,3.2782327515021166,1.0869366840169549e-06,5.963795753598098,EBY / GNHR,Upregulated,,"K06072 deoxyhypusine monooxygenase [EC:1.14.99.29] | (RefSeq) LIA1, MMD1; deoxyhypusine monooxygenase"
jgi|Sacce1|4102|YLR083C,3.271836128495937,3.248529026324189e-05,4.48831324836418,EBY / GNHR,Upregulated,,"K17086 transmembrane 9 superfamily member 2/4 | (RefSeq) EMP70, TMN1; Emp70p"
jgi|Sacce1|1189|YDR165W,3.26848300070286,3.595243411359742e-06,5.444271700932911,EBY / GNHR,Upregulated,,K15443 tRNA (guanine-N(7)-)-methyltransferase subunit TRM82 | (RefSeq) TRM82; Trm82p
jgi|Sacce1|1489|YDR449C,3.2670679497631014,5.719955978921417e-05,4.242607313547025,EBY / GNHR,Upregulated,,K14557 U3 small nucleolar RNA-associated protein 6 | (RefSeq) UTP6; snoRNA-binding rRNA-processing protein UTP6
