Geneid,log2FoldChange,pvalue,-log10(pvalue),comparison,Regulation,JGI_annotation,KEGG_annotation
jgi|Sacce1|2232|YFL001W,-2.0237802808872494,2.915337553765385e-06,5.535311152997461,GNHR / EBY,Downregulated,Transferring other groups,"K01855 tRNA pseudouridine38/39 synthase [EC:5.4.99.45] | (RefSeq) DEG1, HRM3, PUS3; pseudouridine synthase DEG1"
jgi|Sacce1|4632|YML036W,-2.0303130738825055,2.3216220494795422e-05,4.634208480198457,GNHR / EBY,Downregulated,,K15901 EKC/KEOPS complex subunit TPRKB/CGI121 | (RefSeq) CGI121; Cgi121p
jgi|Sacce1|3435|YJL002C,-2.03729678985745,3.597280762856568e-06,5.444025664766747,GNHR / EBY,Downregulated,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase,"K12666 dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit 1 (ribophorin I) | (RefSeq) OST1, NLT1; dolichyl-diphosphooligosaccharide--protein glycotransferase subunit OST1"
jgi|Sacce1|1765|YIL016W,-2.0386072836704594,3.5667623954717716e-05,4.4477258207913035,GNHR / EBY,Downregulated,,K14017 HSP70 co-chaperone SNL1 | (RefSeq) SNL1; Snl1p
jgi|Sacce1|5731|YOR078W,-2.0454286322930937,7.894352716026768e-06,5.102683473430497,GNHR / EBY,Downregulated,,"K14770 U3 small nucleolar RNA-associated protein 16 | (RefSeq) BUD21, UTP16, YOR29-29; Bud21p"
jgi|Sacce1|233|YBL009W,-2.0458917864551576,3.027420864622563e-05,4.518927200292895,GNHR / EBY,Downregulated,,K16315 serine/threonine-protein kinase haspin [EC:2.7.11.1] | (RefSeq) ALK2; protein kinase ALK2
jgi|Sacce1|1395|YDR361C,-2.0462053282143584,3.0029006490302622e-05,4.52245903619652,GNHR / EBY,Downregulated,,K15262 protein BCP1 | (RefSeq) BCP1; protein-transporting protein BCP1
jgi|Sacce1|1758|YIL021W,-2.047999808353266,4.652899843430372e-07,6.33227629582557,GNHR / EBY,Downregulated,DNA-directed RNA polymerase,K03011 DNA-directed RNA polymerase II subunit RPB3 | (RefSeq) RPB3; DNA-directed RNA polymerase II core subunit RPB3
jgi|Sacce1|3083|YHR120W,-2.05384586379478,5.239595341933575e-05,4.280702252625325,GNHR / EBY,Downregulated,,no KO assigned | (RefSeq) MSH1; mismatch repair ATPase MSH1
jgi|Sacce1|1020|YDR002W,-2.0540449199910014,7.6270004867493746e-06,5.117646225894942,GNHR / EBY,Downregulated,,"K15306 Ran-binding protein 1 | (RefSeq) YRB1, CST20, HTN1, SFO1, STP52; Ran GTPase-binding protein YRB1"
jgi|Sacce1|2470|YGL097W,-2.056648252363717,7.380847436891752e-06,5.131893771505302,GNHR / EBY,Downregulated,Acid--D-amino-acid ligases (peptide synthases),"K11493 regulator of chromosome condensation | (RefSeq) SRM1, MTR1, PRP20, TSM437; Ran guanyl-nucleotide exchange factor"
jgi|Sacce1|3900|YKR060W,-2.0663207810325472,1.3354660871152275e-05,4.874367135995827,GNHR / EBY,Downregulated,,K14775 ribosome biogenesis protein UTP30 | (RefSeq) UTP30; Utp30p
jgi|Sacce1|4906|YMR214W,-2.0690548939852667,4.025585332495405e-07,6.3951709629505915,GNHR / EBY,Downregulated,,K14002 DnaJ-related protein SCJ1 | (RefSeq) SCJ1; Scj1p
jgi|Sacce1|2808|YGR227W,-2.0690841267987516,6.725411177876573e-05,4.172281158637972,GNHR / EBY,Downregulated,Hexosyltransferases,"K03850 alpha-1,2-glucosyltransferase [EC:2.4.1.256] | (RefSeq) DIE2, ALG10; dolichyl-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-dolichol alpha-1,2-glucosyltransferase"
jgi|Sacce1|4619|YML052W,-2.0693411105811568,5.03844502289543e-06,5.2977034758906685,GNHR / EBY,Downregulated,,K27385 SUR7 family protein | (RefSeq) SUR7; Sur7p
jgi|Sacce1|2327|YGL236C,-2.0707699783358295,3.213461761883644e-05,4.493026863546248,GNHR / EBY,Downregulated,,"K03495 tRNA uridine 5-carboxymethylaminomethyl modification enzyme | (RefSeq) MTO1, IPS1; tRNA modification protein MTO1"
jgi|Sacce1|5521|YOL115W,-2.0849878567733495,8.202905118512948e-05,4.086032311823962,GNHR / EBY,Downregulated,DNA-directed DNA polymerase,"K03514 non-canonical poly(A) RNA polymerase PAPD5/7 [EC:2.7.7.19] | (RefSeq) PAP2, TRF4; non-canonical poly(A) polymerase PAP2"
jgi|Sacce1|3235|YJL196C,-2.0896534992211375,1.4715931252812763e-06,5.8322122496934385,GNHR / EBY,Downregulated,,K10245 fatty acid elongase 2 [EC:2.3.1.199] | (RefSeq) ELO1; fatty acid elongase ELO1
jgi|Sacce1|6432|YPR071W,-2.090348830597262,4.594629552442912e-05,4.337749498383508,GNHR / EBY,Downregulated,,no KO assigned | (RefSeq) uncharacterized protein
jgi|Sacce1|511|YBR243C,-2.09313210691393,1.7846779632262895e-06,5.748440138885942,GNHR / EBY,Downregulated,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,"K01001 UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15] | (RefSeq) ALG7, TUR1; UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase"
jgi|Sacce1|2656|YGR082W,-2.1021233813949944,1.246196637738593e-06,5.9044134248141615,GNHR / EBY,Downregulated,,"K17770 mitochondrial import receptor subunit TOM20 | (RefSeq) TOM20, MAS20, MOM19; Tom20p"
jgi|Sacce1|584|YCL059C,-2.1173386654170114,4.5435725934413745e-06,5.342602528758342,GNHR / EBY,Downregulated,,K06961 ribosomal RNA assembly protein | (RefSeq) KRR1; ribosome biosynthesis protein KRR1
jgi|Sacce1|3131|YHR163W,-2.124312786480959,9.774157274646545e-06,5.009920677077685,GNHR / EBY,Downregulated,6-phosphogluconolactonase,K01057 6-phosphogluconolactonase [EC:3.1.1.31] | (RefSeq) SOL3; 6-phosphogluconolactonase SOL3
jgi|Sacce1|6134|YPL217C,-2.124649082425751,3.0604641559711925e-05,4.514212702573903,GNHR / EBY,Downregulated,DNA ligase (ATP),K14569 ribosome biogenesis protein BMS1 | (RefSeq) BMS1; GTPase BMS1
jgi|Sacce1|4904|YMR212C,-2.131414126340886,1.1807213576805203e-05,4.927852580879083,GNHR / EBY,Downregulated,,K21842 protein EFR3 | (RefSeq) EFR3; Efr3p
jgi|Sacce1|2692|YGR118W,-2.1322942250125223,3.094222014693879e-05,4.509448528291065,GNHR / EBY,Downregulated,,K02973 small subunit ribosomal protein S23e | (RefSeq) RPS23A; ribosomal 40S subunit protein S23A
jgi|Sacce1|4928|YMR235C,-2.133370029603198,1.7868207412787072e-05,4.7479190149137604,GNHR / EBY,Downregulated,,K14319 Ran GTPase-activating protein 1 | (RefSeq) RNA1; GTPase-activating protein RNA1
jgi|Sacce1|866|YDL145C,-2.1379067156607237,1.7397668099769897e-05,4.759508958572003,GNHR / EBY,Downregulated,,"K05236 coatomer subunit alpha | (RefSeq) COP1, RET1, SEC33, SOO1; coatomer subunit alpha"
jgi|Sacce1|2397|YGL169W,-2.1437812817800665,3.564145480454281e-06,5.448044577343064,GNHR / EBY,Downregulated,,K07566 L-threonylcarbamoyladenylate synthase [EC:2.7.7.87] | (RefSeq) SUA5; threonylcarbamoyladenylate synthase
jgi|Sacce1|1438|YDR399W,-2.146348481363028,4.839312138742214e-05,4.315216364714815,GNHR / EBY,Downregulated,,"K19836 hypoxanthine phosphoribosyltransferase [EC:2.4.2.8] | (RefSeq) HPT1, BRA6; hypoxanthine phosphoribosyltransferase"
jgi|Sacce1|5317|YNL067W,-2.1473317279740995,1.0331906226283574e-05,4.985819544193688,GNHR / EBY,Downregulated,,K02940 large subunit ribosomal protein L9e | (RefSeq) RPL9B; ribosomal 60S subunit protein L9B
jgi|Sacce1|868|YDL143W,-2.14991939731805,7.90705883159382e-06,5.101985029870576,GNHR / EBY,Downregulated,Chaperonin ATPase,"K09496 T-complex protein 1 subunit delta | (RefSeq) CCT4, ANC2, TCP4; chaperonin-containing T-complex subunit CCT4"
jgi|Sacce1|2803|YGR222W,-2.15035370928766,7.215538045898471e-05,4.141731279033083,GNHR / EBY,Downregulated,,"K17666 protein PET54, mitochondrial | (RefSeq) PET54; Pet54p"
jgi|Sacce1|1480|YDR440W,-2.155107335195227,4.889506520350199e-07,6.310734970386299,GNHR / EBY,Downregulated,,"K11427 [histone H3]-lysine79 N-trimethyltransferase [EC:2.1.1.360] | (RefSeq) DOT1, KMT4, PCH1; histone methyltransferase DOT1"
jgi|Sacce1|4094|YLR075W,-2.159473877319042,1.855823152753266e-05,4.731463411437587,GNHR / EBY,Downregulated,,"K02866 large subunit ribosomal protein L10e | (RefSeq) RPL10, GRC5, QSR1; ribosomal 60S subunit protein L10"
jgi|Sacce1|2827|YGR245C,-2.16064539820945,1.308009941975543e-05,4.88338895499592,GNHR / EBY,Downregulated,,K14856 protein SDA1 | (RefSeq) SDA1; Sda1p
jgi|Sacce1|5547|YOL090W,-2.1613639606356765,4.7620752238097585e-05,4.322203748572581,GNHR / EBY,Downregulated,,"K08735 DNA mismatch repair protein MSH2 | (RefSeq) MSH2, PMS5; mismatch repair ATPase MSH2"
jgi|Sacce1|3498|YJR064W,-2.1706679020589488,1.6473722641810293e-07,6.783208250246551,GNHR / EBY,Downregulated,,"K09497 T-complex protein 1 subunit epsilon | (RefSeq) CCT5, TCP5; chaperonin-containing T-complex subunit CCT5"
jgi|Sacce1|1639|YIL131C,-2.1717980609880754,4.261886714020983e-05,4.370398098528304,GNHR / EBY,Downregulated,,K24664 forkhead protein FKH | (RefSeq) FKH1; forkhead family transcription factor FKH1
jgi|Sacce1|3883|YKR043C,-2.174260214761287,1.2555868875086662e-05,4.901153228423067,GNHR / EBY,Downregulated,Phosphoglycerate mutase,K22315 sedoheptulose-bisphosphatase [EC:3.1.3.37] | (RefSeq) SHB17; sedoheptulose-bisphosphatase
jgi|Sacce1|2369|YGL195W,-2.176505596187486,1.8587815507463845e-05,4.730771646742343,GNHR / EBY,Downregulated,,"no KO assigned | (RefSeq) GCN1, AAS103, NDR1; Gcn1p"
jgi|Sacce1|4537|YML125C,-2.1767766176301384,5.7766740704522635e-05,4.2383221353835,GNHR / EBY,Downregulated,Cytochrome-b5 reductase,"K00326 cytochrome-b5 reductase [EC:1.6.2.2] | (RefSeq) PGA3, NQR1; cytochrome-b5 reductase"
jgi|Sacce1|5383|YNL002C,-2.1787842220856666,5.1280234168287405e-05,4.290050000303536,GNHR / EBY,Downregulated,,"K02937 large subunit ribosomal protein L7e | (RefSeq) RLP7, RPL7; Rlp7p"
jgi|Sacce1|3659|YKL166C,-2.1843441298164197,1.4322199412725447e-05,4.8439902837416104,GNHR / EBY,Downregulated,,K04345 protein kinase A [EC:2.7.11.11] | (RefSeq) TPK3; cAMP-dependent protein kinase catalytic subunit TPK3
jgi|Sacce1|2562|YGL008C,-2.185825295888329,1.3920800802253121e-05,4.856335780961362,GNHR / EBY,Downregulated,Proton-exporting ATPase,"K01535 H+-transporting ATPase [EC:7.1.2.1] | (RefSeq) PMA1, KTI10; H(+)-exporting P2-type ATPase PMA1"
jgi|Sacce1|6082|YPL266W,-2.190135476600182,2.699974276532192e-05,4.568640373475584,GNHR / EBY,Downregulated,Methyltransferases,"K14191 18S rRNA (adenine1779-N6/adenine1780-N6)-dimethyltransferase [EC:2.1.1.183] | (RefSeq) DIM1, CDH1; putative dimethyladenosine transferase"
jgi|Sacce1|1620|YIL148W,-2.1917242301386555,3.6699542781528005e-06,5.4353393463390915,GNHR / EBY,Downregulated,,"K02927 ubiquitin-large subunit ribosomal protein L40e | (RefSeq) RPL40A, CEP52A, UB11, UBI1; ubiquitin-ribosomal 60S subunit protein L40A fusion protein"
jgi|Sacce1|1106|YDR083W,-2.1948841059873185,5.604355514376528e-06,5.2514743228804255,GNHR / EBY,Downregulated,,K14850 ribosomal RNA-processing protein 8 [EC:2.1.1.287] | (RefSeq) RRP8; 25S rRNA (adenine645-N1)-methyltransferase
jgi|Sacce1|3670|YKL156W,-2.1979907093013122,8.701919596354696e-05,4.06038493380138,GNHR / EBY,Downregulated,,K02978 small subunit ribosomal protein S27e | (RefSeq) RPS27A; ribosomal 40S subunit protein S27A
jgi|Sacce1|1405|YDR370C,-2.204323858872197,3.8771325149758184e-05,4.411489355160121,GNHR / EBY,Downregulated,,no KO assigned | (RefSeq) DXO1; Dxo1p
jgi|Sacce1|6141|YPL210C,-2.205935699829562,2.16081836851601e-06,5.665381736988304,GNHR / EBY,Downregulated,,K03108 signal recognition particle subunit SRP72 | (RefSeq) SRP72; signal recognition particle subunit SRP72
jgi|Sacce1|2291|YFR051C,-2.2112859524804387,8.5105993013363e-06,5.070039856590013,GNHR / EBY,Downregulated,,K20471 coatomer subunit delta | (RefSeq) RET2; coatomer subunit delta
jgi|Sacce1|594|YCL050C,-2.213815416793224,5.4523238053997047e-05,4.2634183599682505,GNHR / EBY,Downregulated,,"K00988 sulfate adenylyltransferase (ADP) / ATP adenylyltransferase [EC:2.7.7.5 2.7.7.53] | (RefSeq) APA1, DTP1; bifunctional AP-4-A phosphorylase/ADP sulfurylase"
jgi|Sacce1|452|YBR192W,-2.2139912489282234,1.497631238405557e-06,5.824595109761375,GNHR / EBY,Downregulated,,"K15116 solute carrier family 25, member 33/36 | (RefSeq) RIM2, PYT1; Rim2p"
jgi|Sacce1|6139|YPL212C,-2.21425223565886,5.416067112637163e-05,4.266315962774279,GNHR / EBY,Downregulated,tRNA-pseudouridine synthase I,K06173 tRNA pseudouridine38-40 synthase [EC:5.4.99.12] | (RefSeq) PUS1; pseudouridine synthase PUS1
jgi|Sacce1|4453|YLR401C,-2.218249934214775,6.907944409534967e-05,4.160651165998811,GNHR / EBY,Downregulated,Oxidoreductases,K05544 tRNA-dihydrouridine synthase 3 [EC:1.3.1.89] | (RefSeq) DUS3; tRNA dihydrouridine synthase DUS3
jgi|Sacce1|6545|YPR175W,-2.2194638952118475,7.092645246376964e-05,4.149191761763461,GNHR / EBY,Downregulated,DNA-directed DNA polymerase,K02325 DNA polymerase epsilon subunit 2 [EC:2.7.7.7] | (RefSeq) DPB2; DNA polymerase epsilon noncatalytic subunit
jgi|Sacce1|3016|YHR062C,-2.2202732677271166,1.6851488475898628e-06,5.773361732281141,GNHR / EBY,Downregulated,Ribonuclease P,K03539 ribonuclease P/MRP protein subunit RPP1 [EC:3.1.26.5] | (RefSeq) RPP1; RNA-binding RNA processing protein RPP1
jgi|Sacce1|240|YBL004W,-2.222193474795043,5.050904528821005e-05,4.2966308403568,GNHR / EBY,Downregulated,,K14772 U3 small nucleolar RNA-associated protein 20 | (RefSeq) UTP20; Utp20p
jgi|Sacce1|4679|YMR006C,-2.227223069448286,5.6872976919192575e-05,4.245094038747277,GNHR / EBY,Downregulated,Lysophospholipase,K13333 lysophospholipase [EC:3.1.1.5] | (RefSeq) PLB2; lysophospholipase
jgi|Sacce1|4538|YML124C,-2.229524069752793,1.1833585526302943e-05,4.9268836460436125,GNHR / EBY,Downregulated,,K07374 tubulin alpha | (RefSeq) TUB3; alpha-tubulin TUB3
jgi|Sacce1|1219|YDR191W,-2.2310725237205644,4.434288109587066e-05,4.353176092832064,GNHR / EBY,Downregulated,In linear amides,K11121 NAD-dependent protein deacetylase SIR2 [EC:2.3.1.286] | (RefSeq) HST4; NAD-dependent histone deacetylase HST4
jgi|Sacce1|6394|YPR034W,-2.2352775991561695,1.6433923288567543e-06,5.784258744588242,GNHR / EBY,Downregulated,,"K11767 actin-related protein 7 | (RefSeq) ARP7, RSC11, SWP61; Arp7p"
jgi|Sacce1|5786|YOR133W,-2.23794766801606,3.550604268003899e-05,4.449697729218918,GNHR / EBY,Downregulated,,K03234 elongation factor 2 | (RefSeq) EFT1; elongation factor 2
jgi|Sacce1|412|YBR155W,-2.2461094842085845,2.235530760898227e-06,5.650619349863743,GNHR / EBY,Downregulated,Serine/threonine specific protein phosphatase,K24927 tetratricopeptide repeat protein 4 | (RefSeq) CNS1; HSP70/90 family co-chaperone CNS1
jgi|Sacce1|1069|YDR047W,-2.2467612655518368,5.747409505575874e-05,4.240527858081901,GNHR / EBY,Downregulated,Uroporphyrinogen decarboxylase,"K01599 uroporphyrinogen decarboxylase [EC:4.1.1.37] | (RefSeq) HEM12, HEM6; uroporphyrinogen decarboxylase HEM12"
jgi|Sacce1|3761|YKL072W,-2.2475157859635417,5.794934877237315e-06,5.23695144022073,GNHR / EBY,Downregulated,,no KO assigned | (RefSeq) STB6; Stb6p
jgi|Sacce1|2066|YER113C,-2.2503133749324506,9.87596016973694e-05,4.005420670268896,GNHR / EBY,Downregulated,,K17086 transmembrane 9 superfamily member 2/4 | (RefSeq) TMN3; Tmn3p
jgi|Sacce1|806|YDL201W,-2.2507534513307546,2.354667956332942e-07,6.628070326284298,GNHR / EBY,Downregulated,tRNA (guanine-N7-)-methyltransferase,K03439 tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33] | (RefSeq) TRM8; tRNA (guanine46-N7)-methyltransferase
jgi|Sacce1|1255|YDR226W,-2.25418516312288,7.02118108769191e-05,4.153589825659082,GNHR / EBY,Downregulated,Adenylate kinase,"K00939 adenylate kinase [EC:2.7.4.3] | (RefSeq) ADK1, AKY1, AKY2; adenylate kinase ADK1"
jgi|Sacce1|1931|YER006W,-2.2543133486537426,2.5510394748509954e-06,5.593282821054138,GNHR / EBY,Downregulated,,K14538 nuclear GTP-binding protein | (RefSeq) NUG1; RNA-binding GTPase NUG1
jgi|Sacce1|6556|YPR186C,-2.255728863865689,7.356050422390362e-05,4.133355302531996,GNHR / EBY,Downregulated,,"K09191 general transcription factor IIIA | (RefSeq) PZF1, TFC2; Pzf1p"
jgi|Sacce1|530|YBR261C,-2.2571489591513365,1.3532452310201307e-05,4.868623494734068,GNHR / EBY,Downregulated,,"K16219 protein N-terminal methyltransferase [EC:2.1.1.244] | (RefSeq) TAE1, NTM1; N-terminal protein methyltransferase"
jgi|Sacce1|710|YCR063W,-2.2597901219441945,7.167733256685222e-07,6.144618165079361,GNHR / EBY,Downregulated,,"K12873 bud site selection protein 31 | (RefSeq) BUD31, CWC14; U2 snRNP complex subunit BUD31"
jgi|Sacce1|3139|YHR170W,-2.2623131178787026,7.786706001287837e-05,4.108646222430957,GNHR / EBY,Downregulated,,"K07562 60S ribosomal export protein NMD3 | (RefSeq) NMD3, SRC5; ribosome-binding protein NMD3"
jgi|Sacce1|6504|YPR141C,-2.2691508363204873,3.708465425639445e-05,4.430805765600279,GNHR / EBY,Downregulated,,"K10405 kinesin family member C1 (minus-end-directed kinesin ATPase) [EC:5.6.1.4] | (RefSeq) KAR3, OSR11; Kar3p"
jgi|Sacce1|4084|YLR065C,-2.270267678340304,2.3465025988930747e-05,4.629578960443903,GNHR / EBY,Downregulated,,"K27164 SRP-independent targeting protein 2 | (RefSeq) SND2, ENV10; Snd2p"
jgi|Sacce1|6475|YPR113W,-2.2725047347406284,5.8237841275615846e-05,4.234794731556687,GNHR / EBY,Downregulated,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,K00999 CDP-diacylglycerol--inositol 3-phosphatidyltransferase [EC:2.7.8.11] | (RefSeq) PIS1; CDP-diacylglycerol--inositol 3-phosphatidyltransferase
jgi|Sacce1|2940|YHL001W,-2.283600117620577,5.588536263879974e-05,4.252701926596968,GNHR / EBY,Downregulated,,K02875 large subunit ribosomal protein L14e | (RefSeq) RPL14B; ribosomal 60S subunit protein L14B
jgi|Sacce1|4039|YLR020C,-2.290724982002386,9.058539568897983e-07,6.042941814276166,GNHR / EBY,Downregulated,,no KO assigned | (RefSeq) YEH2; sterol esterase
jgi|Sacce1|4336|YLR293C,-2.2939008284770046,4.6168050121470494e-05,4.335658467215547,GNHR / EBY,Downregulated,,"K07936 GTP-binding nuclear protein Ran | (RefSeq) GSP1, CNR1, CST17; Ran GTPase GSP1"
jgi|Sacce1|356|YBR106W,-2.296313691759082,1.725634878853786e-05,4.7630510897757885,GNHR / EBY,Downregulated,,"K27165 SRP-independent targeting protein 3 | (RefSeq) SND3, PHO88; Snd3p"
jgi|Sacce1|5406|YNR020C,-2.298129175965577,3.6998064907490996e-06,5.431820990040459,GNHR / EBY,Downregulated,,K18156 mitochondrial inner membrane protease ATP23 [EC:3.4.24.-] | (RefSeq) ATP23; putative metalloprotease
jgi|Sacce1|4609|YML059C,-2.300861301505678,8.970732562483331e-06,5.047172090417044,GNHR / EBY,Downregulated,1-phosphatidylinositol 4-kinase,K14676 lysophospholipid hydrolase [EC:3.1.1.5] | (RefSeq) NTE1; lysophospholipase
jgi|Sacce1|3810|YKL027W,-2.314693201978959,3.5205484320867046e-07,6.453389676727541,GNHR / EBY,Downregulated,Ubiquitin--protein ligase,K22132 tRNA threonylcarbamoyladenosine dehydratase | (RefSeq) TCD2; tRNA threonylcarbamoyladenosine dehydratase
jgi|Sacce1|260|YBR017C,-2.3215179796277483,6.521943731803965e-06,5.1856229523979644,GNHR / EBY,Downregulated,,K18752 transportin-1 | (RefSeq) KAP104; Kap104p
jgi|Sacce1|3866|YKR027W,-2.3248697933996403,4.418851531931741e-05,4.354690589962028,GNHR / EBY,Downregulated,,"K19880 Chs5-Arf1p-binding protein CHS6/BCH2 | (RefSeq) BCH2, FMP50; Bch2p"
jgi|Sacce1|2377|YGL188C-A,-2.327724977490797,9.757723000209421e-06,5.010651514691475,GNHR / EBY,Downregulated,,no KO assigned | (RefSeq) uncharacterized protein
jgi|Sacce1|3672|YKL155C,-2.3303929770477736,2.1731691918376783e-05,4.662906460416218,GNHR / EBY,Downregulated,,"K27906 ribosome assembly protein METTL17/RSM22, mitochondrial | (RefSeq) RSM22; tRNA methyltransferase RSM22"
jgi|Sacce1|4028|YLR009W,-2.3331232431863613,1.2420852353256573e-05,4.905848600647801,GNHR / EBY,Downregulated,,K02896 large subunit ribosomal protein L24e | (RefSeq) RLP24; ATPase-activating ribosome biosynthesis protein
jgi|Sacce1|5601|YOL040C,-2.3361893262783386,9.593691718866892e-05,4.018014241149054,GNHR / EBY,Downregulated,,"K02958 small subunit ribosomal protein S15e | (RefSeq) RPS15, RPS21; ribosomal 40S subunit protein S15"
jgi|Sacce1|2189|YFL037W,-2.3413143380472965,5.468060788489504e-06,5.262166666021039,GNHR / EBY,Downregulated,,"K07375 tubulin beta | (RefSeq) TUB2, ARM10, SHE8; beta-tubulin"
jgi|Sacce1|60|YAL023C,-2.344924981082353,7.245047350839168e-05,4.13995877180206,GNHR / EBY,Downregulated,Dolichyl-phosphate-mannose--protein mannosyltransferase,"K00728 dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109] | (RefSeq) PMT2, FUN25; dolichyl-phosphate-mannose-protein mannosyltransferase PMT2"
jgi|Sacce1|896|YDL117W,-2.3451212694645194,8.672012539175836e-05,4.061880102843173,GNHR / EBY,Downregulated,,no KO assigned | (RefSeq) CYK3; Cyk3p
jgi|Sacce1|4699|YMR024W,-2.3452325030095795,1.2805228164808894e-05,4.89261267882502,GNHR / EBY,Downregulated,,"no KO assigned | (RefSeq) MRPL3, mL44; mitochondrial 54S ribosomal protein YmL3"
jgi|Sacce1|1434|YDR395W,-2.346133709133974,2.35623403630093e-06,5.627781574824627,GNHR / EBY,Downregulated,,"K20223 importin-7 | (RefSeq) SXM1, KAP108; Sxm1p"
jgi|Sacce1|2376|YGL189C,-2.3475269105180594,2.7232204768889066e-05,4.564917195964475,GNHR / EBY,Downregulated,,"K02976 small subunit ribosomal protein S26e | (RefSeq) RPS26A, RPS26; ribosomal 40S subunit protein S26A"
jgi|Sacce1|1043|YDR023W,-2.3492882745008425,3.2301171826385274e-06,5.490781721987737,GNHR / EBY,Downregulated,Serine--tRNA ligase,K01875 seryl-tRNA synthetase [EC:6.1.1.11] | (RefSeq) SES1; serine--tRNA ligase SES1
jgi|Sacce1|5544|YOL093W,-2.3525745166469423,6.023067501785794e-05,4.220182269572436,GNHR / EBY,Downregulated,,K15445 tRNA (guanine9-N1)-methyltransferase [EC:2.1.1.221] | (RefSeq) TRM10; tRNA (guanine(9)-N(1))-methyltransferase
jgi|Sacce1|5081|YNL292W,-2.359444204363785,7.835651803905349e-05,4.105924871171735,GNHR / EBY,Downregulated,Pseudouridylate synthase,K03177 tRNA pseudouridine55 synthase [EC:5.4.99.25] | (RefSeq) PUS4; pseudouridine synthase PUS4
jgi|Sacce1|6393|YPR033C,-2.3627988331532768,3.3781327830073407e-06,5.47132328377803,GNHR / EBY,Downregulated,Histidine--tRNA ligase,"K01892 histidyl-tRNA synthetase [EC:6.1.1.21] | (RefSeq) HTS1, TS4572, TSM4572; histidine--tRNA ligase"
jgi|Sacce1|3444|YJR007W,-2.3673026772705863,5.7899543947662955e-06,5.237324857028928,GNHR / EBY,Downregulated,,K03237 translation initiation factor 2 subunit 1 | (RefSeq) SUI2; translation initiation factor eIF2 subunit alpha
jgi|Sacce1|3699|YKL130C,-2.3674361196439517,1.716647476007481e-05,4.7653188806943785,GNHR / EBY,Downregulated,,K18736 SWI5-dependent HO expression protein 2 | (RefSeq) SHE2; She2p
