Geneid,EBY_1,EBY_2,EBY_3,EBY-U_1,EBY-GNSR_1,EBY-GNSR_2,EBY-GNHR_1,EBY-GNHR_2,EBY-GNHR_3,EBY-GNUR_1,EBY-GNUR_2,EBY-GNUR_3,JGI_annotation,KEGG_annotation,Metabolic_Summary
jgi|Sacce1|100|YAR030C,2.59,1.92,2.01,4.02,3.02,4.92,3.44,2.73,4.1,4.41,5.33,4.45,,,Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C100%7CYAR030C+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|1010|YDL008W,64.2,62.59,55.45,37.89,55.84,57.73,36.89,26.24,29.21,51.35,53.42,54.1,Ubiquitin--protein ligase,K03358 anaphase-promoting complex subunit 11 | (RefSeq) APC11; anaphase promoting complex subunit 11,"The ANAPC11 gene synthesizes a subunit of the anaphase-promoting complex, which is involved in ubiquitin-protein transferase activity, the regulation of the mitotic metaphase/anaphase transition, and protein polyubiquitination."
jgi|Sacce1|1011|YDL007C-A,0.0,0.0,0.0,0.25,0.87,0.2,0.0,0.23,0.0,0.23,0.25,0.61,,no KO assigned | (RefSeq) uncharacterized protein,"The text describes the JGI Metabolomics Program as focused on understanding the roles of small molecules (metabolites) in biological systems and linking them with genomic data to study processes like nutrient cycling, plant-microbe interactions, and environmental responses, but does not specify what gene 'jgi|Sacce1|1011|YDL007C-A' synthesizes."
jgi|Sacce1|1012|YDL007W,166.9,168.88,163.72,280.58,238.91,244.73,321.89,315.52,305.3,254.74,248.45,262.57,Adenosinetriphosphatase,"K03062 26S proteasome regulatory subunit T2 | (RefSeq) RPT2, YHS4, YTA5; proteasome regulatory particle base subunit RPT2","The gene PSMC2 encodes an ATPase subunit of the 26S proteasome, a multi-protein complex involved in protein degradation and potentially in the regulation of transcription and immune responses."
jgi|Sacce1|1013|YDL006W,42.79,43.74,49.55,52.43,49.81,54.99,47.92,49.71,45.81,44.27,51.28,49.22,Serine/threonine specific protein phosphatase,"K19704 protein phosphatase PTC1 [EC:3.1.3.16] | (RefSeq) PTC1, CWH47, KCS2, TPD1; type 2C protein phosphatase PTC1","This gene encodes a protein serine/threonine phosphatase, an enzyme that removes phosphate groups from serine or threonine residues on proteins, and is part of a diverse group involved in regulating various cellular processes through dephosphorylation."
jgi|Sacce1|1014|YDL005C,48.33,51.56,54.89,131.49,69.47,71.58,115.32,119.04,121.41,97.87,95.41,100.77,DNA-directed DNA polymerase,K15154 mediator of RNA polymerase II transcription subunit 2 | (RefSeq) MED2; Med2p,No specific metabolic synthesis information found.
jgi|Sacce1|1015|YDL004W,403.45,406.78,412.93,1386.75,568.29,556.75,1450.89,1530.65,1417.0,1907.11,1983.7,1977.51,H(+)-transporting two-sector ATPase,K02134 F-type H+-transporting ATPase subunit delta | (RefSeq) ATP16; F1F0 ATP synthase subunit delta,"This gene synthesizes a subunit (delta) of F-type H+-transporting ATPase, and is part of oxidative phosphorylation and energy metabolism pathways."
jgi|Sacce1|1016|YDL003W,69.47,73.11,72.98,3.27,36.31,39.24,3.19,3.46,3.3,6.81,6.96,5.8,,"K06670 cohesin complex subunit SCC1 | (RefSeq) MCD1, PDS3, RHC21, SCC1; kleisin alpha","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 34
}
])"
jgi|Sacce1|1017|YDL002C,95.51,93.33,106.05,118.83,110.77,124.45,109.86,106.55,101.0,103.67,111.39,114.13,,"K11680 non-histone protein 10 | (RefSeq) NHP10, HMO2; Nhp10p","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 31
}
])"
jgi|Sacce1|1018|YDL001W,34.58,37.01,36.47,40.13,41.48,41.26,32.75,29.86,35.47,38.44,37.83,39.52,,no KO assigned | (RefSeq) RMD1; Rmd1p,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 28
}
])"
jgi|Sacce1|1019|YDR001C,34.04,38.09,35.97,345.25,104.58,111.74,362.56,382.05,360.68,220.63,209.24,223.42,"Alpha,alpha-trehalase","K01194 alpha,alpha-trehalase [EC:3.2.1.28] | (RefSeq) NTH1; alpha,alpha-trehalase NTH1","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 23
}
])"
jgi|Sacce1|101|YAR031W,3.02,3.16,2.64,1.17,5.96,5.22,0.55,0.52,1.08,2.15,2.1,2.52,,no KO assigned | (RefSeq) PRM9; pheromone-regulated DUP240 family protein PRM9,Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C101%7CYAR031W+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|1020|YDR002W,952.87,902.29,932.83,228.34,698.84,708.39,251.1,227.92,192.35,316.58,365.91,320.46,,"K15306 Ran-binding protein 1 | (RefSeq) YRB1, CST20, HTN1, SFO1, STP52; Ran GTPase-binding protein YRB1","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 17
}
])"
jgi|Sacce1|1021|YDR003W,42.73,42.58,48.46,245.93,113.69,122.4,204.43,213.78,236.75,210.57,192.36,212.05,,"no KO assigned | (RefSeq) RCR2, SSH5; Rcr2p",Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C1021%7CYDR003W+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|1022|YDR003W-A,19.79,21.07,23.94,102.27,42.73,39.32,114.4,92.47,99.41,85.81,95.72,93.07,,no KO assigned | (RefSeq) uncharacterized protein,"The DNA Synthesis Program synthesizes genes, pathways, and even whole chromosomes to advance functional genomics and develop biofuels, biochemicals, and other bioenergy solutions."
jgi|Sacce1|1023|YDR004W,44.17,44.15,47.51,36.95,36.71,39.34,39.91,35.89,39.07,58.61,58.04,49.51,,K10958 DNA repair protein RAD57 | (RefSeq) RAD57; putative DNA-dependent ATPase RAD57,"The gene 'jgi|Sacce1|1023|YDR004W' (RAD57) is predicted to enable DNA binding and catalytic activity acting on DNA, and is involved in heteroduplex formation, meiotic DNA recombinase assembly, and telomere maintenance via recombination, functioning as part of the Rad51C-XRCC3 complex."
jgi|Sacce1|1024|YDR005C,68.46,64.48,75.85,106.61,84.97,89.24,104.55,120.39,120.94,92.8,92.2,88.32,,K25817 repressor of RNA polymerase III transcription MAF1 | (RefSeq) MAF1; RNA polymerase III-inhibiting protein MAF1,No specific metabolic synthesis information found.
jgi|Sacce1|1025|YDR006C,41.25,51.12,49.21,82.61,40.03,40.46,63.79,65.94,67.44,63.94,65.57,64.26,"Glucan 1,4-alpha-glucosidase",no KO assigned | (RefSeq) SOK1; Sok1p,Skipped (Web scraping error: 400 Client Error: Bad Request for url: https://www.sciencedirect.com/unsupported_browser)
jgi|Sacce1|1026|YDR007W,35.85,36.24,36.32,1088.1,714.99,695.78,2436.02,2438.28,2471.71,431.02,411.48,438.48,Phosphoribosylanthranilate isomerase,K01817 phosphoribosylanthranilate isomerase [EC:5.3.1.24] | (RefSeq) TRP1; phosphoribosylanthranilate isomerase TRP1,"The gene 'jgi|Sacce1|1026|YDR007W' encodes phosphoribosylanthranilate isomerase, an enzyme involved in the biosynthesis of tryptophan."
jgi|Sacce1|1027|YDR008C,6.59,8.07,9.04,29.12,34.17,33.25,45.76,54.17,53.15,21.31,20.57,21.1,,,"The DNA Synthesis Program synthesizes genes, pathways, and even whole chromosomes to advance functional genomics and develop biofuels, biochemicals, and other bioenergy solutions, with a focus on areas like lignocellulose decomposition, CO2 fixation, and plant metabolite biosynthesis."
jgi|Sacce1|1028|YDR009W,3.43,3.21,3.16,25.24,17.13,16.81,18.59,14.78,21.55,30.56,29.38,32.59,Galactokinase,K00849 galactokinase [EC:2.7.1.6] | (RefSeq) GAL3; transcriptional regulator GAL3,"The gene 'jgi|Sacce1|1028|YDR009W' encodes galactokinase, an enzyme that phosphorylates alpha-D-galactose as part of the Leloir pathway for galactose metabolism."
jgi|Sacce1|1029|YDR010C,1.48,1.87,2.07,2.95,2.7,2.84,5.3,4.73,3.48,3.08,4.69,4.42,,no KO assigned | (RefSeq) uncharacterized protein,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 24
}
])"
jgi|Sacce1|102|YAR033W,14.27,12.25,15.95,3.16,17.71,18.49,2.76,2.4,2.88,8.64,10.7,10.13,,no KO assigned | (RefSeq) MST28; DUP240 family protein MST28,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 21
}
])"
jgi|Sacce1|1030|YDR011W,46.31,51.16,54.12,58.9,42.91,44.75,51.3,60.39,61.53,57.54,54.18,49.97,,"K08712 ATP-binding cassette, subfamily G (WHITE), member 2, SNQ2 | (RefSeq) SNQ2; ATP-binding cassette transporter SNQ2","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 16
}
])"
jgi|Sacce1|1031|YDR012W,1144.55,1126.74,1055.3,171.77,886.68,762.19,199.27,204.07,143.7,388.51,427.79,424.17,,K02930 large subunit ribosomal protein L4e | (RefSeq) RPL4B; ribosomal 60S subunit protein L4B,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 12
}
])"
jgi|Sacce1|1032|YDR013W,43.46,41.94,43.8,13.38,38.26,35.21,16.09,17.3,15.95,20.2,20.23,19.1,,"K10732 GINS complex subunit 1 | (RefSeq) PSF1, CDC101; DNA replication protein PSF1",No specific metabolic synthesis information found.
jgi|Sacce1|1033|YDR014W,16.98,17.77,17.65,24.43,18.46,19.98,18.57,25.5,23.94,23.24,22.65,21.37,,"no KO assigned | (RefSeq) RAD61, WPL1; Rad61p",Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C1033%7CYDR014W+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|1034|YDR014W-A,1.56,1.63,1.17,6.16,3.03,1.72,8.42,5.37,8.01,9.37,8.11,10.31,,no KO assigned | (RefSeq) HED1; Hed1p,"The DNA Synthesis Program synthesizes genes, pathways, and even whole chromosomes to advance functional genomics and contribute to the development of biofuels, biochemicals, and biosystems for bioenergy applications."
jgi|Sacce1|1035|YDR015C,0.0,0.14,0.16,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,,,"The text describes the JGI Metabolomics Program as focused on understanding the roles of small molecules (metabolites) in biological systems, linking them with genomic data to study processes like nutrient cycling, plant-microbe interactions, and environmental responses, and identifying enzymatic transformations and metabolic pathways."
jgi|Sacce1|1036|YDR016C,64.97,58.56,55.42,52.88,67.31,60.49,47.79,34.59,52.91,45.71,46.56,55.46,,K11553 DASH complex subunit DAD1 | (RefSeq) DAD1; Dad1p,No specific metabolic synthesis information found.
jgi|Sacce1|1037|YDR017C,43.31,46.0,48.13,26.06,35.48,37.44,26.26,27.73,26.3,32.27,35.75,33.56,,K07756 inositol-hexakisphosphate 5-kinase [EC:2.7.4.21] | (RefSeq) KCS1; inositol polyphosphate kinase KCS1,"Inositol-hexakisphosphate kinase (EC 2.7.4.21) catalyzes the phosphorylation of 1D-myo-inositol hexakisphosphate (phytic acid) to produce 1D-myo-inositol 5-diphosphate 1,2,3,4,6-pentakisphosphate and other related inositol polyphosphates, participating in inositol phosphate metabolism."
jgi|Sacce1|1038|YDR018C,1.73,1.89,2.31,58.15,19.54,18.23,63.86,77.18,72.88,44.01,42.76,50.05,Glycerol-3-phosphate O-acyltransferase,no KO assigned | (RefSeq) MLG1; putative acyltransferase,"Glycerol-3-phosphate acyltransferases (GPATs) catalyze the first step in the synthesis of triacylglycerol (TAG) and glycerophospholipids by converting glycerol-3-phosphate and acyl-CoA to lysophosphatidic acid, playing a key role in lipid metabolism and insulin resistance."
jgi|Sacce1|1039|YDR019C,292.02,295.28,309.42,431.73,84.58,89.61,561.39,486.94,592.1,209.86,214.82,190.37,Aminomethyltransferase,"K00605 glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10] | (RefSeq) GCV1, GSD1; glycine decarboxylase subunit T","The gene 'jgi|Sacce1|1039|YDR019C' encodes an aminomethyltransferase, a component of the glycine cleavage system involved in glycine metabolism and one-carbon group transfer."
jgi|Sacce1|103|YAR035W,1.97,1.56,0.56,110.91,0.52,0.25,221.83,78.87,112.55,124.07,132.9,81.57,Carnitine O-acetyltransferase,K00624 carnitine O-acetyltransferase [EC:2.3.1.7] | (RefSeq) YAT1; carnitine O-acetyltransferase YAT1,"This gene synthesizes Carnitine O-acetyltransferase, an enzyme identified by EC 2.3.1.7."
jgi|Sacce1|1040|YDR020C,64.1,68.91,73.1,11.06,40.04,47.52,7.83,9.93,8.92,25.88,28.48,22.91,Uridine kinase,"K00876 uridine kinase [EC:2.7.1.48] | (RefSeq) DAS2, RRT3; putative uridine kinase DAS2","This gene synthesizes uridine monophosphate (UMP) and cytidine monophosphate (CMP) from uridine and cytidine, respectively, and is part of pyrimidine metabolism and drug metabolism pathways."
jgi|Sacce1|1041|YDR021W,52.2,56.21,58.8,11.63,35.08,36.88,10.75,13.95,10.55,15.58,19.3,13.22,Adenosinetriphosphatase,K13025 ATP-dependent RNA helicase [EC:5.6.2.7] | (RefSeq) FAL1; ATP-dependent RNA helicase FAL1,"This gene is involved in ribosome biogenesis, mRNA surveillance, nucleocytoplasmic transport, aminoacyl-tRNA biosynthesis, and potentially protein folding, sorting, and degradation, as indicated by its association with multiple KEGG pathways related to these processes."
jgi|Sacce1|1042|YDR022C,20.06,16.49,20.51,80.82,26.53,29.53,80.92,70.37,92.57,74.9,71.32,73.84,,"K21144 autophagy-related protein 31 | (RefSeq) ATG31, CIS1; Atg31p",The gene 'jgi|Sacce1|1042|YDR022C' (Cis1/Atg31) is required for autophagosome formation and functions in concert with Atg17 as part of a complex involved in autophagy.
jgi|Sacce1|1043|YDR023W,646.91,621.9,635.21,135.66,611.86,635.03,120.04,142.48,111.13,252.49,277.7,274.75,Serine--tRNA ligase,K01875 seryl-tRNA synthetase [EC:6.1.1.11] | (RefSeq) SES1; serine--tRNA ligase SES1,"The gene 'jgi|Sacce1|1043|YDR023W' synthesizes L-seryl-tRNA, and is part of the aminoacyl-tRNA biosynthesis pathway."
jgi|Sacce1|1044|YDR024W,0.86,1.0,0.94,0.13,0.55,0.32,0.37,0.12,0.2,0.74,0.67,0.22,,,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 39
}
])"
jgi|Sacce1|1045|YDR025W,1711.46,1733.88,1629.26,223.13,1604.76,1274.79,279.45,271.21,204.7,585.7,597.02,607.54,,K02949 small subunit ribosomal protein S11e | (RefSeq) RPS11A; ribosomal 40S subunit protein S11A,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 36
}
])"
jgi|Sacce1|1046|YDR026C,41.4,45.83,44.61,36.72,39.86,41.36,36.98,32.18,33.18,44.5,42.79,39.09,,"K09424 Myb-like DNA-binding protein REB1 | (RefSeq) NSI1, YTT1; Nsi1p","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 33
}
])"
jgi|Sacce1|1047|YDR027C,23.18,25.62,26.28,49.05,31.7,32.88,33.54,37.95,37.65,36.95,35.01,41.17,,"K17600 vacuolar protein sorting-associated protein 54 | (RefSeq) VPS54, CGP1, LUV1, TCS3; Vps54p","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 28
}
])"
jgi|Sacce1|1048|YDR028C,70.0,73.27,71.94,142.53,88.96,94.04,141.54,158.91,145.24,160.51,156.2,164.6,Adenosinetriphosphatase,"no KO assigned | (RefSeq) REG1, HEX2, PZF240, SPP43, SRN1; protein phosphatase regulator REG1",Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://www.metabolismjournal.com/article/0026-0495(95)90238-4/fulltext)
jgi|Sacce1|1049|YDR029W,0.62,0.22,0.85,0.62,1.0,0.33,0.43,0.74,0.15,0.57,1.24,1.33,,no KO assigned | (RefSeq) uncharacterized protein,Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C1049%7CYDR029W+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
